mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Algoritmo__min_samples_leaf,param_Algoritmo__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.446558157602946,0.010602458597448183,0.05867377916971842,0.0012818865944125202,10,100,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 100}",0.8859964339596764,0.8854271561930164,0.8892918379010968,0.8869051426845965,0.0017035756193473904,11
0.8239582379659017,0.004020829363175519,0.07627209027608235,0.0012573161396262913,10,200,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 200}",0.8868845151556715,0.8828076096127153,0.8912922189260538,0.8869947812314801,0.0034647046777085523,9
1.5790706475575764,0.018281873334852847,0.11824560165405273,0.0018758427849142505,10,400,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 400}",0.8874777122479769,0.8823177203821135,0.8900640938410037,0.8866198421570314,0.003220096402372004,14
2.0138487021128335,0.006143370537151987,0.14195768038431802,0.004174788630293947,10,500,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 500}",0.8869222328898642,0.8825014288435893,0.8904587268323217,0.8866274628552584,0.0032552332072472187,13
4.155168771743774,0.07627068821086747,0.25493375460306805,0.004745525531696324,10,1000,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 1000}",0.8881497736935948,0.8828824538007239,0.8900981139264621,0.8870434471402603,0.0030478852334585144,8
0.4846033255259196,0.019505193787470735,0.07053184509277344,0.0032634100618925796,20,100,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 100}",0.883006446303662,0.8854407642271998,0.8891659635849005,0.8858710580385875,0.0025329531983514075,21
0.8612705866495768,0.01628388976407751,0.09234333038330078,0.0033199249944672565,20,200,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 200}",0.8843711425044576,0.8836240916637182,0.8902409982853877,0.8860787441511878,0.002958917690407565,19
1.5983978907267253,0.05631375295000382,0.11824941635131836,0.002267586091500592,20,400,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 400}",0.8869290906597175,0.8850121111504232,0.8895027624309393,0.88714798808036,0.0018398232326998353,7
1.9348082542419434,0.006863369480215434,0.1429917812347412,0.0007797028518990243,20,500,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 500}",0.8869908105883966,0.8851141714067985,0.890339656533217,0.8874815461761374,0.0021613328857307402,4
3.8544650077819824,0.020436825678883115,0.2556632359822591,0.005650018323434715,20,1000,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 1000}",0.8868810862707446,0.885787769098876,0.8895810086274938,0.8874166213323714,0.0015942113791340767,5
0.44860410690307617,0.0058342694043172945,0.0629437764485677,0.004863521784302874,30,100,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 100}",0.8856672610067206,0.8875432055085323,0.8888563808072287,0.8873556157741606,0.0013086924025732909,6
0.8056255976359049,0.009281198911074104,0.0824424425760905,0.00287066547602675,30,200,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 200}",0.8851254971883143,0.8865838390986038,0.8890605013199793,0.8869232792022993,0.0016242904229339685,10
1.5369238058725994,0.021004614248385827,0.12438766161600749,0.005672704755568808,30,400,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 400}",0.8862295981346865,0.8865226029447786,0.8902546063195711,0.8876689357996788,0.00183225398216962,1
1.875410000483195,0.0032340567744623613,0.15041081110636392,0.005999943279268095,30,500,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 500}",0.8855232478398025,0.8864817788422283,0.8905539830716054,0.8875196699178787,0.0021809764872355868,3
3.8201759656270347,0.05286270936623404,0.2639933427174886,0.002754056179191433,30,1000,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 1000}",0.8851323549581676,0.8870873363633889,0.8904076967041341,0.8875424626752301,0.002177561725720164,2
0.42550985018412274,0.011200556300909456,0.06913638114929199,0.005086309677396803,50,100,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 100}",0.8870936771361954,0.8833825490569633,0.8889652450806955,0.8864804904246181,0.002320003186892926,16
0.8433789412180582,0.061492259739064574,0.08109283447265625,0.0003291783308986429,50,200,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 200}",0.8868330818817721,0.8820489617069918,0.8899382195248075,0.8862734210378571,0.003244997424154112,18
1.4613165855407715,0.012100581432907756,0.13463091850280762,0.0034726971280804753,50,400,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 400}",0.8861815937457139,0.883828212176469,0.889353074054922,0.8864542933257017,0.002263742990372359,17
1.8044036229451497,0.019145978075778138,0.1494134267171224,0.003570831846895407,50,500,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 500}",0.885872994102318,0.8844950058514546,0.8898633753367989,0.8867437917635238,0.0022764832758541222,12
3.6331828435262046,0.06422432206373702,0.27715905507405597,0.014057909832386977,50,1000,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 1000}",0.8857907008640791,0.8839234684157526,0.8901355360204664,0.8866165684334327,0.002602433337342307,15
0.41903916994730633,0.008242364883976753,0.05843814214070638,0.0018807577273028421,75,100,"{'Algoritmo__min_samples_leaf': 75, 'Algoritmo__n_estimators': 100}",0.8858112741736388,0.8829641020058243,0.8884379337560896,0.8857377699785176,0.0022352868059943116,22
0.7992227872212728,0.013123849522867232,0.08594131469726562,0.01101034789363621,75,200,"{'Algoritmo__min_samples_leaf': 75, 'Algoritmo__n_estimators': 200}",0.8864216156905774,0.8822360721770133,0.8890196772174292,0.8858924550283399,0.002794558115449135,20
1.4500364462534587,0.03127940952834468,0.1348738670349121,0.001562756305629421,75,400,"{'Algoritmo__min_samples_leaf': 75, 'Algoritmo__n_estimators': 400}",0.8845117267864491,0.8828960618349073,0.8886964864055739,0.8853680916756433,0.002444211108937696,23
