mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Algoritmo__min_samples_leaf,param_Algoritmo__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.6760985851287842,0.04650047852018541,0.1024305025736491,0.008115074620148493,10,100,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 100}",0.8859964339596764,0.8854271561930164,0.8892918379010968,0.8869051426845965,0.0017035756193473904,19
0.9811235268910726,0.07410655646981669,0.08338061968485515,0.0031074165443002637,10,200,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 200}",0.8868845151556715,0.8828076096127153,0.8912922189260538,0.8869947812314801,0.0034647046777085523,15
1.3856409390767415,0.0408732363181783,0.11078492800394694,0.006823865537990708,10,300,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 300}",0.8873885612398849,0.8830729662792912,0.8909758321312903,0.8871457865501554,0.0032308953177257365,12
1.7084807554880779,0.019018957194414828,0.12556608517964682,0.008304434043768683,10,400,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 400}",0.8874777122479769,0.8823177203821135,0.8900640938410037,0.8866198421570314,0.003220096402372004,22
2.2210063139597573,0.02412207289623561,0.1536408265431722,0.0018636218112933112,10,500,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 500}",0.8869222328898642,0.8825014288435893,0.8904587268323217,0.8866274628552584,0.0032552332072472187,21
4.947159608205159,0.11068286286686713,0.41103021303812665,0.03553382633344643,10,1000,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 1000}",0.8881497736935948,0.8828824538007239,0.8900981139264621,0.8870434471402603,0.0030478852334585144,14
0.5395681858062744,0.06384068481274065,0.06871684392293294,0.0031741626332668985,20,100,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 100}",0.883006446303662,0.8854407642271998,0.8891659635849005,0.8858710580385875,0.0025329531983514075,31
1.2579533259073894,0.05900231572634748,0.13268144925435385,0.019640819265484003,20,200,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 200}",0.8843711425044576,0.8836240916637182,0.8902409982853877,0.8860787441511878,0.002958917690407565,29
1.9004277388254802,0.05467886692336212,0.15779487291971842,0.0061160519011268675,20,300,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 300}",0.8848991907831574,0.8845018098685463,0.8903158424733962,0.8865722810416999,0.0026520642328177863,24
2.3446973164876304,0.12292759796627963,0.19145886103312174,0.007845363919260813,20,400,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 400}",0.8869290906597175,0.8850121111504232,0.8895027624309393,0.88714798808036,0.0018398232326998353,11
2.8563873767852783,0.013643670285219511,0.20385050773620605,0.0068857545217888205,20,500,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 500}",0.8869908105883966,0.8851141714067985,0.890339656533217,0.8874815461761374,0.0021613328857307402,6
5.543001254399617,0.08947375618514976,0.340316375096639,0.002736981323685845,20,1000,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 1000}",0.8868810862707446,0.885787769098876,0.8895810086274938,0.8874166213323714,0.0015942113791340767,8
