mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Algoritmo__min_samples_leaf,param_Algoritmo__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.6131802399953207,0.11246649995949722,0.05529030164082845,0.008241305256937791,10,100,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 100}",0.8859964339596764,0.8854271561930164,0.8892918379010968,0.8869051426845965,0.0017035756193473904,11
1.010170300801595,0.07936728131490932,0.07317018508911133,0.011307891247778243,10,200,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 200}",0.8868845151556715,0.8828076096127153,0.8912922189260538,0.8869947812314801,0.0034647046777085523,9
1.8869112332661946,0.06462237478392802,0.10366113980611165,0.005405985003274256,10,400,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 400}",0.8874777122479769,0.8823177203821135,0.8900640938410037,0.8866198421570314,0.003220096402372004,14
2.334559917449951,0.024693013070874348,0.1285227139790853,0.014419057690368792,10,500,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 500}",0.8869222328898642,0.8825014288435893,0.8904587268323217,0.8866274628552584,0.0032552332072472187,13
4.825742642084758,0.33754499627486834,0.24820439020792642,0.03974501147730496,10,1000,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 1000}",0.8881497736935948,0.8828824538007239,0.8900981139264621,0.8870434471402603,0.0030478852334585144,8
0.4829295476277669,0.020244239432636472,0.0458376407623291,0.0028501319287355304,20,100,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 100}",0.883006446303662,0.8854407642271998,0.8891659635849005,0.8858710580385875,0.0025329531983514075,21
1.203913927078247,0.09022835650885073,0.07456588745117188,0.003916185693629371,20,200,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 200}",0.8843711425044576,0.8836240916637182,0.8902409982853877,0.8860787441511878,0.002958917690407565,19
1.9968140125274658,0.09337153976900142,0.1175847848256429,0.011684077648102342,20,400,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 400}",0.8869290906597175,0.8850121111504232,0.8895027624309393,0.88714798808036,0.0018398232326998353,7
3.5767197608947754,0.707881138809581,0.23098103205362955,0.12620135145457964,20,500,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 500}",0.8869908105883966,0.8851141714067985,0.890339656533217,0.8874815461761374,0.0021613328857307402,4
4.754725058873494,0.29243003286910585,0.34273600578308105,0.14310406267170156,20,1000,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 1000}",0.8868810862707446,0.885787769098876,0.8895810086274938,0.8874166213323714,0.0015942113791340767,5
0.4722074667612712,0.044281392637612736,0.047556002934773765,0.003130936772210067,30,100,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 100}",0.8856672610067206,0.8875432055085323,0.8888563808072287,0.8873556157741606,0.0013086924025732909,6
0.9877161979675293,0.06942174996607259,0.07549564043680827,0.017729022278773893,30,200,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 200}",0.8851254971883143,0.8865838390986038,0.8890605013199793,0.8869232792022993,0.0016242904229339685,10
2.1695565382639566,0.34162111180119853,0.16669424374898276,0.043065152499402855,30,400,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 400}",0.8862295981346865,0.8865226029447786,0.8902546063195711,0.8876689357996788,0.00183225398216962,1
2.0825437704722085,0.10615762977607798,0.12781008084615073,0.010263193772224928,30,500,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 500}",0.8855232478398025,0.8864817788422283,0.8905539830716054,0.8875196699178787,0.0021809764872355868,3
3.7320175170898438,0.15335112710913318,0.1891454060872396,0.004429079372342354,30,1000,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 1000}",0.8851323549581676,0.8870873363633889,0.8904076967041341,0.8875424626752301,0.002177561725720164,2
0.39983296394348145,0.029625466284602223,0.04046853383382162,0.003213171152300168,50,100,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 100}",0.8870936771361954,0.8833825490569633,0.8889652450806955,0.8864804904246181,0.002320003186892926,16
0.707292636235555,0.01676183374817809,0.05392916997273763,0.00028002539259775714,50,200,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 200}",0.8868330818817721,0.8820489617069918,0.8899382195248075,0.8862734210378571,0.003244997424154112,18
1.51435383160909,0.14708264382878677,0.09790635108947754,0.006841645764976073,50,400,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 400}",0.8861815937457139,0.883828212176469,0.889353074054922,0.8864542933257017,0.002263742990372359,17
1.783934195836385,0.09515876304119132,0.12078468004862468,0.021244261362433278,50,500,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 500}",0.885872994102318,0.8844950058514546,0.8898633753367989,0.8867437917635238,0.0022764832758541222,12
3.8738176027933755,0.5617780393793362,0.20940367380777994,0.036636939322320934,50,1000,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 1000}",0.8857907008640791,0.8839234684157526,0.8901355360204664,0.8866165684334327,0.002602433337342307,15
0.3622439702351888,0.0055790364650152215,0.0416106383005778,0.0015817709448576794,75,100,"{'Algoritmo__min_samples_leaf': 75, 'Algoritmo__n_estimators': 100}",0.8858112741736388,0.8829641020058243,0.8884379337560896,0.8857377699785176,0.0022352868059943116,22
0.6956283251444498,0.01756893925091058,0.05794628461201986,0.0003943913348606716,75,200,"{'Algoritmo__min_samples_leaf': 75, 'Algoritmo__n_estimators': 200}",0.8864216156905774,0.8822360721770133,0.8890196772174292,0.8858924550283399,0.002794558115449135,20
1.3217702706654866,0.029616220568117406,0.08773477872212727,0.0010119476985264778,75,400,"{'Algoritmo__min_samples_leaf': 75, 'Algoritmo__n_estimators': 400}",0.8845117267864491,0.8828960618349073,0.8886964864055739,0.8853680916756433,0.002444211108937696,23
1.916033188501994,0.3271799407348686,0.12995084126790366,0.011914273779488418,75,500,"{'Algoritmo__min_samples_leaf': 75, 'Algoritmo__n_estimators': 500}",0.8842545604169524,0.8832022426040335,0.888499169909915,0.8853186576436336,0.002289626883988049,24
3.26104203859965,0.05830324087387209,0.1843892733256022,0.003104995356990894,75,1000,"{'Algoritmo__min_samples_leaf': 75, 'Algoritmo__n_estimators': 1000}",0.8843642847346045,0.8830661622621997,0.8884447377731812,0.8852917282566617,0.002291634387184122,25
0.3588109811147054,0.03157526544808854,0.03981828689575195,0.0012759570005616244,100,100,"{'Algoritmo__min_samples_leaf': 100, 'Algoritmo__n_estimators': 100}",0.8835653545467015,0.881474022262744,0.8886624663201154,0.8845672810431869,0.0030189760427181554,26
0.6439119974772135,0.02825862264545111,0.06379421552022298,0.009759872888350563,100,200,"{'Algoritmo__min_samples_leaf': 100, 'Algoritmo__n_estimators': 200}",0.8832053216294061,0.8801438369213184,0.8885467980295565,0.8839653188600937,0.0034723321355759522,30
1.3133971691131592,0.07090942618124368,0.09582432111104329,0.008177579247446633,100,400,"{'Algoritmo__min_samples_leaf': 100, 'Algoritmo__n_estimators': 400}",0.8828247154025511,0.8810147511090548,0.8883188634569851,0.8840527766561971,0.0031057597170232546,29
1.5728691418965657,0.015093039434085022,0.10158117612202962,0.0007768966215176669,100,500,"{'Algoritmo__min_samples_leaf': 100, 'Algoritmo__n_estimators': 500}",0.8829310108352765,0.8815998965789402,0.8886386522602945,0.8843898532248371,0.0030531062022835414,27
